"Var1" "Freq"
"936" "2020-08-01" 4
"937" "2020-08-02" 3
"938" "2020-08-03" 2
"939" "2020-08-04" 3
"940" "2020-08-05" 7
"941" "2020-08-06" 4
"942" "2020-08-07" 3
"943" "2020-08-08" 5
"944" "2020-08-09" 4
"945" "2020-08-10" 5
"946" "2020-08-11" 4
"947" "2020-08-12" 7
"948" "2020-08-13" 3
"949" "2020-08-14" 5
"950" "2020-08-15" 4
"951" "2020-08-16" 6
"952" "2020-08-17" 3
"953" "2020-08-19" 2
"954" "2020-08-20" 8
"955" "2020-08-21" 9
"956" "2020-08-22" 3
"957" "2020-08-23" 5
"958" "2020-08-24" 8
"959" "2020-08-25" 3
"960" "2020-08-26" 8
"961" "2020-08-27" 3
"962" "2020-08-28" 4
"963" "2020-08-29" 3
"964" "2020-08-30" 4
"965" "2020-08-31" 2
"966" "2020-09-01" 5
"967" "2020-09-02" 4
"968" "2020-09-03" 3
"969" "2020-09-04" 5
"970" "2020-09-05" 5
"971" "2020-09-06" 3
"972" "2020-09-07" 2
"973" "2020-09-08" 4
"974" "2020-09-09" 4
"975" "2020-09-10" 9
"976" "2020-09-11" 3
"977" "2020-09-12" 7
"978" "2020-09-13" 5
"979" "2020-09-14" 4
"980" "2020-09-15" 2
"981" "2020-09-16" 4
"982" "2020-09-17" 3
"983" "2020-09-18" 5
"984" "2020-09-19" 3
"985" "2020-09-20" 5
"986" "2020-09-21" 2
"987" "2020-09-22" 4
"988" "2020-09-23" 6
"989" "2020-09-24" 3
"990" "2020-09-25" 3
"991" "2020-09-26" 6
"992" "2020-09-27" 2
"993" "2020-09-28" 7
"994" "2020-09-29" 4
"995" "2020-09-30" 4
